Entidad federativa;Grupo quinquenal de edad;Población
Durango;5 a 9 años;176033
Durango;10 a 14 años;170271
Durango;15 a 19 años;162990
Durango;20 a 24 años;153588
Durango;25 a 29 años;141107
Durango;30 a 34 años;129526
Durango;35 a 39 años;118830
Durango;40 a 44 años;114976
Durango;45 a 49 años;108070
Durango;50 a 54 años;97009
Durango;55 a 59 años;79997
Durango;60 a 64 años;66536
Durango;65 a 69 años;49727
Durango;70 a 74 años;36956
Durango;75 a 79 años;25689
Durango;80 a 84 años;17026
Durango;85 a 89 años;9042
Durango;90 a 94 años;3333
Durango;95 a 99 años;1012
Durango;100 años y más;157
Durango;No especificado;3175
Guanajuato;Total;6166934
Guanajuato;0 a 4 años;538846
Guanajuato;5 a 9 años;547545
Guanajuato;10 a 14 años;549301
Guanajuato;15 a 19 años;552092
Guanajuato;20 a 24 años;540587
Guanajuato;25 a 29 años;501868
Guanajuato;30 a 34 años;462332
Guanajuato;35 a 39 años;439045
Guanajuato;40 a 44 años;407230
Guanajuato;45 a 49 años;365660
Guanajuato;50 a 54 años;318197
Guanajuato;55 a 59 años;250808
Guanajuato;60 a 64 años;214406
Guanajuato;65 a 69 años;161765
Guanajuato;70 a 74 años;118285
Guanajuato;75 a 79 años;81110
Guanajuato;80 a 84 años;54366
Guanajuato;85 a 89 años;31747
Guanajuato;90 a 94 años;14003
Guanajuato;95 a 99 años;5009
Guanajuato;100 años y más;683
Guanajuato;No especificado;12049
Guerrero;Total;3540685
Guerrero;0 a 4 años;335458
Guerrero;5 a 9 años;351010
Guerrero;10 a 14 años;348493
Guerrero;15 a 19 años;326540
Guerrero;20 a 24 años;281967
Guerrero;25 a 29 años;256191
Guerrero;30 a 34 años;237976
Guerrero;35 a 39 años;222157
Guerrero;40 a 44 años;209120
Guerrero;45 a 49 años;190778
Guerrero;50 a 54 años;174072
Guerrero;55 a 59 años;148972
Guerrero;60 a 64 años;126765
Guerrero;65 a 69 años;104196
Guerrero;70 a 74 años;77444
Guerrero;75 a 79 años;58071
Guerrero;80 a 84 años;39210
Guerrero;85 a 89 años;23532
Guerrero;90 a 94 años;9187
Guerrero;95 a 99 años;3950
Guerrero;100 años y más;1179
Guerrero;No especificado;14417
Hidalgo;Total;3082841
Hidalgo;0 a 4 años;238189
Hidalgo;5 a 9 años;269553
Hidalgo;10 a 14 años;283676
Hidalgo;15 a 19 años;272506
Hidalgo;20 a 24 años;238187
Hidalgo;25 a 29 años;231124
Hidalgo;30 a 34 años;224226
Hidalgo;35 a 39 años;221410
Hidalgo;40 a 44 años;211048
Hidalgo;45 a 49 años;194567
Hidalgo;50 a 54 años;171679
Hidalgo;55 a 59 años;139795
Hidalgo;60 a 64 años;118929
Hidalgo;65 a 69 años;93011
Hidalgo;70 a 74 años;66179
Hidalgo;75 a 79 años;47263
Hidalgo;80 a 84 años;29997
Hidalgo;85 a 89 años;17421
Hidalgo;90 a 94 años;7213
Hidalgo;95 a 99 años;3020
Hidalgo;100 años y más;642
Hidalgo;No especificado;3206
Jalisco;Total;8348151
Jalisco;0 a 4 años;670983
Jalisco;5 a 9 años;718100
Jalisco;10 a 14 años;714906
Jalisco;15 a 19 años;716259
Jalisco;20 a 24 años;704359
Jalisco;25 a 29 años;668334
Jalisco;30 a 34 años;639006
Jalisco;35 a 39 años;602903
Jalisco;40 a 44 años;549859
Jalisco;45 a 49 años;511537
Jalisco;50 a 54 años;444689
Jalisco;55 a 59 años;357080
Jalisco;60 a 64 años;313011
Jalisco;65 a 69 años;240553
Jalisco;70 a 74 años;181420
Jalisco;75 a 79 años;120885
Jalisco;80 a 84 años;76495
Jalisco;85 a 89 años;41507
Jalisco;90 a 94 años;17725
Jalisco;95 a 99 años;6381
Jalisco;100 años y más;1108
Jalisco;No especificado;51051
México;Total;16992418
México;0 a 4 años;1276386
México;5 a 9 años;1381132
México;10 a 14 años;1464549
México;15 a 19 años;1476665
México;20 a 24 años;1415159
México;25 a 29 años;1367527
México;30 a 34 años;1283264
México;35 a 39 años;1254296
México;40 a 44 años;1197089
México;45 a 49 años;1145882
México;50 a 54 años;1007077
México;55 a 59 años;795711
México;60 a 64 años;661100
México;65 a 69 años;475398
México;70 a 74 años;330905
México;75 a 79 años;212562
México;80 a 84 años;130480
México;85 a 89 años;71307
México;90 a 94 años;26950
México;95 a 99 años;9294
México;100 años y más;1458
México;No especificado;8227
Michoacán de Ocampo;Total;4748846
Michoacán de Ocampo;0 a 4 años;429837
Michoacán de Ocampo;5 a 9 años;441618
Michoacán de Ocampo;10 a 14 años;426869
Michoacán de Ocampo;15 a 19 años;407743
Michoacán de Ocampo;20 a 24 años;390431
Michoacán de Ocampo;25 a 29 años;367568
Michoacán de Ocampo;30 a 34 años;345272
Michoacán de Ocampo;35 a 39 años;318438
Michoacán de Ocampo;40 a 44 años;299299
Michoacán de Ocampo;45 a 49 años;270544
Michoacán de Ocampo;50 a 54 años;243599
Michoacán de Ocampo;55 a 59 años;202399
Michoacán de Ocampo;60 a 64 años;178844
Michoacán de Ocampo;65 a 69 años;140009
Michoacán de Ocampo;70 a 74 años;106332
Michoacán de Ocampo;75 a 79 años;74938
Michoacán de Ocampo;80 a 84 años;51154
Michoacán de Ocampo;85 a 89 años;30976
Michoacán de Ocampo;90 a 94 años;13255
Michoacán de Ocampo;95 a 99 años;5246
Michoacán de Ocampo;100 años y más;945
Michoacán de Ocampo;No especificado;3530
Morelos;Total;1971520
Morelos;0 a 4 años;145439
Morelos;5 a 9 años;158935
Morelos;10 a 14 años;164177
Morelos;15 a 19 años;166654
Morelos;20 a 24 años;162146
Morelos;25 a 29 años;154595
Morelos;30 a 34 años;143404
Morelos;35 a 39 años;135994
Morelos;40 a 44 años;130539
Morelos;45 a 49 años;124378
Morelos;50 a 54 años;114284
Morelos;55 a 59 años;96124
Morelos;60 a 64 años;84475
Morelos;65 a 69 años;65650
Morelos;70 a 74 años;47846
Morelos;75 a 79 años;33189
Morelos;80 a 84 años;21954
Morelos;85 a 89 años;13278
Morelos;90 a 94 años;5327
Morelos;95 a 99 años;1844
Morelos;100 años y más;340
Morelos;No especificado;948
Nayarit;Total;1235456
Nayarit;0 a 4 años;103601
Nayarit;5 a 9 años;113942
Nayarit;10 a 14 años;113335
Nayarit;15 a 19 años;104256
Nayarit;20 a 24 años;97500
Nayarit;25 a 29 años;92542
Nayarit;30 a 34 años;90577
Nayarit;35 a 39 años;85180
Nayarit;40 a 44 años;81357
Nayarit;45 a 49 años;75138
Nayarit;50 a 54 años;64958
Nayarit;55 a 59 años;54507
Nayarit;60 a 64 años;47698
Nayarit;65 a 69 años;37876
Nayarit;70 a 74 años;27774
Nayarit;75 a 79 años;19910
Nayarit;80 a 84 años;13039
Nayarit;85 a 89 años;7093
Nayarit;90 a 94 años;2773
Nayarit;95 a 99 años;996
Nayarit;100 años y más;236
Nayarit;No especificado;1168
Nuevo León;Total;5784442
Nuevo León;0 a 4 años;454909
Nuevo León;5 a 9 años;463819
Nuevo León;10 a 14 años;462720
Nuevo León;15 a 19 años;471896
Nuevo León;20 a 24 años;503826
Nuevo León;25 a 29 años;488349
Nuevo León;30 a 34 años;448470
Nuevo León;35 a 39 años;426619
Nuevo León;40 a 44 años;409490
Nuevo León;45 a 49 años;387678
Nuevo León;50 a 54 años;334439
Nuevo León;55 a 59 años;260045
Nuevo León;60 a 64 años;217238
Nuevo León;65 a 69 años;154408
Nuevo León;70 a 74 años;115822
Nuevo León;75 a 79 años;77327
Nuevo León;80 a 84 años;50350
Nuevo León;85 a 89 años;25023
Nuevo León;90 a 94 años;10365
Nuevo León;95 a 99 años;3097
Nuevo León;100 años y más;420
Nuevo León;No especificado;18132
Oaxaca;Total;4132148
Oaxaca;0 a 4 años;359853
Oaxaca;5 a 9 años;388759
Oaxaca;10 a 14 años;398362
Oaxaca;15 a 19 años;358708
Oaxaca;20 a 24 años;310307
Oaxaca;25 a 29 años;307124
Oaxaca;30 a 34 años;289279
Oaxaca;35 a 39 años;276496
Oaxaca;40 a 44 años;259478
Oaxaca;45 a 49 años;233971
Oaxaca;50 a 54 años;210438
Oaxaca;55 a 59 años;179408
Oaxaca;60 a 64 años;155780
Oaxaca;65 a 69 años;127194
Oaxaca;70 a 74 años;93692
Oaxaca;75 a 79 años;73118
Oaxaca;80 a 84 años;50714
Oaxaca;85 a 89 años;31435
Oaxaca;90 a 94 años;12630
Oaxaca;95 a 99 años;4898
Oaxaca;100 años y más;1116
Oaxaca;No especificado;9388
Puebla;Total;6583278
Puebla;0 a 4 años;578779
Puebla;5 a 9 años;598550
Puebla;10 a 14 años;603375
Puebla;15 a 19 años;607200
Puebla;20 a 24 años;570646
Puebla;25 a 29 años;528289
Puebla;30 a 34 años;475854
Puebla;35 a 39 años;457864
Puebla;40 a 44 años;425089
Puebla;45 a 49 años;382865
Puebla;50 a 54 años;334597
Puebla;55 a 59 años;269080
Puebla;60 a 64 años;229364
Puebla;65 a 69 años;177876
Puebla;70 a 74 años;128374
Puebla;75 a 79 años;91494
Puebla;80 a 84 años;60354
Puebla;85 a 89 años;36491
Puebla;90 a 94 años;14770
Puebla;95 a 99 años;5631
Puebla;100 años y más;1065
Puebla;No especificado;5671
Querétaro;Total;2368467
Querétaro;0 a 4 años;187893
Querétaro;5 a 9 años;196969
Querétaro;10 a 14 años;198601
Querétaro;15 a 19 años;198141
Querétaro;20 a 24 años;209039
Querétaro;25 a 29 años;214139
Querétaro;30 a 34 años;194576
Querétaro;35 a 39 años;182743
Querétaro;40 a 44 años;165728
Querétaro;45 a 49 años;149832
Querétaro;50 a 54 años;125857
Querétaro;55 a 59 años;97903
Querétaro;60 a 64 años;80729
Querétaro;65 a 69 años;57833
Querétaro;70 a 74 años;40979
Querétaro;75 a 79 años;27417
Querétaro;80 a 84 años;17321
Querétaro;85 a 89 años;9975
Querétaro;90 a 94 años;4195
Querétaro;95 a 99 años;1531
Querétaro;100 años y más;242
Querétaro;No especificado;6824
Quintana Roo;Total;1857985
Quintana Roo;0 a 4 años;147731
Quintana Roo;5 a 9 años;155388
Quintana Roo;10 a 14 años;154281
Quintana Roo;15 a 19 años;147549
Quintana Roo;20 a 24 años;164989
Quintana Roo;25 a 29 años;184447
Quintana Roo;30 a 34 años;175133
Quintana Roo;35 a 39 años;161472
Quintana Roo;40 a 44 años;136731
Quintana Roo;45 a 49 años;117045
Quintana Roo;50 a 54 años;94160
Quintana Roo;55 a 59 años;66985
Quintana Roo;60 a 64 años;49321
Quintana Roo;65 a 69 años;34204
Quintana Roo;70 a 74 años;21678
Quintana Roo;75 a 79 años;12688
Quintana Roo;80 a 84 años;7421
Quintana Roo;85 a 89 años;3775
Quintana Roo;90 a 94 años;1332
Quintana Roo;95 a 99 años;531
Quintana Roo;100 años y más;102
Quintana Roo;No especificado;21022
San Luis Potosí;Total;2822255
San Luis Potosí;0 a 4 años;230931
San Luis Potosí;5 a 9 años;242727
San Luis Potosí;10 a 14 años;252780
San Luis Potosí;15 a 19 años;253797
San Luis Potosí;20 a 24 años;232129
San Luis Potosí;25 a 29 años;220964
San Luis Potosí;30 a 34 años;204288
San Luis Potosí;35 a 39 años;191969
San Luis Potosí;40 a 44 años;180174
San Luis Potosí;45 a 49 años;169453
San Luis Potosí;50 a 54 años;153736
San Luis Potosí;55 a 59 años;125766
San Luis Potosí;60 a 64 años;107635
San Luis Potosí;65 a 69 años;82236
San Luis Potosí;70 a 74 años;63157
San Luis Potosí;75 a 79 años;45985
San Luis Potosí;80 a 84 años;32252
San Luis Potosí;85 a 89 años;18927
San Luis Potosí;90 a 94 años;8052
San Luis Potosí;95 a 99 años;2895
San Luis Potosí;100 años y más;460
San Luis Potosí;No especificado;1942
Sinaloa;Total;3026943
Sinaloa;0 a 4 años;236236
Sinaloa;5 a 9 años;250496
Sinaloa;10 a 14 años;260172
Sinaloa;15 a 19 años;261581
Sinaloa;20 a 24 años;256990
Sinaloa;25 a 29 años;232316
Sinaloa;30 a 34 años;215491
Sinaloa;35 a 39 años;205540
Sinaloa;40 a 44 años;204309
Sinaloa;45 a 49 años;192589
Sinaloa;50 a 54 años;172094
Sinaloa;55 a 59 años;143385
Sinaloa;60 a 64 años;123628
Sinaloa;65 a 69 años;95056
Sinaloa;70 a 74 años;70677
Sinaloa;75 a 79 años;49051
Sinaloa;80 a 84 años;30957
Sinaloa;85 a 89 años;15827
